#{"t_start": 1749383827.0857978, "env_id": "Swimmer-v4"}
r,l,t
4.757401,1000,1.386789
8.771416,1000,1.731719
6.72748,1000,2.081691
-3.920014,1000,2.426169
23.907741,1000,1.106207
4.329179,1000,1.448195
1.958622,1000,1.816021
-2.285838,1000,2.15892
-4.930673,1000,2.503817
0.055782,1000,2.844491
23.308739,1000,20.658684
34.412353,1000,32.753421
2.218316,1000,42.91177
23.483261,1000,55.369148
22.759638,1000,66.774343
31.324614,1000,79.623931
9.180251,1000,92.346344
33.702425,1000,103.502377
16.37063,1000,116.447196
15.973657,1000,127.61108
29.300994,1000,146.79514
31.574173,1000,159.291449
19.572305,1000,174.157132
31.65598,1000,186.663423
21.269518,1000,201.063118
22.977074,1000,215.487664
11.095164,1000,227.797929
20.30475,1000,241.707918
14.739051,1000,254.900084
16.996968,1000,269.114339
21.060134,1000,286.767603
20.114285,1000,300.633735
39.078129,1000,312.821351
-5.298836,1000,325.873234
23.282897,1000,337.551276
35.655105,1000,351.471062
33.183129,1000,365.315054
-2.499533,1000,377.423863
36.361345,1000,390.96944
39.766907,1000,402.699856
82.263707,1000,421.748072
28.623134,1000,433.603539
11.171223,1000,447.305535
41.834912,1000,459.640272
22.281268,1000,473.553723
33.508259,1000,486.7507
10.754618,1000,498.288539
14.9812,1000,511.467408
13.363759,1000,523.648156
4.009658,1000,537.120891
5.71606,1000,553.99984
18.794503,1000,567.891334
18.509702,1000,582.141454
17.114195,1000,593.796016
17.945781,1000,607.157211
21.254114,1000,619.676275
7.660685,1000,633.979602
17.879678,1000,645.771471
18.017897,1000,660.556045
12.994518,1000,674.334485
3.815394,1000,691.615616
11.731702,1000,703.655128
19.501711,1000,716.5598
18.799662,1000,730.905149
18.747135,1000,743.628527
15.531199,1000,757.605195
19.239178,1000,769.647375
10.212907,1000,783.113224
11.815002,1000,795.927565
12.788129,1000,809.938433
8.05836,1000,827.700444
9.689133,1000,841.737657
9.945545,1000,856.161562
36.128371,1000,869.169047
7.415828,1000,883.166089
4.530602,1000,896.225687
9.347029,1000,910.917484
11.109545,1000,923.016629
13.54922,1000,936.927686
19.160161,1000,949.203381
19.365896,1000,967.924843
24.466536,1000,979.659436
35.297089,1000,993.64678
39.712124,1000,1009.294989
57.746833,1000,1020.568548
28.704154,1000,1035.012909
37.514246,1000,1046.798959
53.516613,1000,1063.35249
43.006654,1000,1076.776254
75.809208,1000,1091.450505
101.570512,1000,1110.608939
80.493618,1000,1125.268432
153.086323,1000,1137.685801
266.963996,1000,1152.495396
306.315425,1000,1166.009187
314.78504,1000,1180.843671
308.394886,1000,1193.083964
314.584444,1000,1207.3334
326.228514,1000,1221.509158
315.488196,1000,1233.722533
326.580213,1000,1252.656394
334.757702,1000,1265.2659
328.151523,1000,1278.138553
330.767266,1000,1289.917073
322.45436,1000,1303.994231
335.95501,1000,1315.567179
328.338865,1000,1328.841103
332.505546,1000,1342.973244
324.488113,1000,1354.663848
327.643048,1000,1368.034875
322.197152,1000,1385.589241
333.272779,1000,1399.346679
333.593676,1000,1410.821275
338.51815,1000,1426.030406
327.758187,1000,1438.19083
338.481742,1000,1451.780537
340.46937,1000,1465.679776
338.755916,1000,1477.567777
340.004721,1000,1491.05002
337.756673,1000,1503.697001
341.337858,1000,1521.778519
334.405743,1000,1534.543955
336.432889,1000,1547.917101
334.573066,1000,1560.497833
333.545741,1000,1573.904707
336.635789,1000,1586.920294
333.514271,1000,1598.445179
342.494488,1000,1613.163342
336.609295,1000,1625.910332
340.630795,1000,1639.171436
338.356233,1000,1656.906078
338.280389,1000,1671.232238
340.745821,1000,1683.160241
343.530501,1000,1697.264568
341.351672,1000,1710.639236
347.916965,1000,1722.16913
345.271638,1000,1736.367442
344.216207,1000,1748.249908
342.240372,1000,1762.483805
348.943278,1000,1775.383332
347.731595,1000,1794.480647
348.79543,1000,1807.145574
342.747473,1000,1821.033946
341.503085,1000,1833.778239
345.894105,1000,1846.651903
339.839123,1000,1860.648774
343.295599,1000,1872.620319
347.121954,1000,1885.843884
337.303935,1000,1898.596377
341.831842,1000,1912.342298
353.158267,1000,1929.926419
339.947466,1000,1942.745213
344.935142,1000,1954.971501
338.95533,1000,1968.083212
341.996384,1000,1982.047598
339.312382,1000,1993.548198
340.496592,1000,2007.398948
342.522057,1000,2019.74773
346.472676,1000,2032.795478
343.759546,1000,2045.318283
344.666018,1000,2063.847582
345.807724,1000,2077.286268
341.208032,1000,2090.228139
344.436314,1000,2104.161971
346.982663,1000,2115.799902
341.146249,1000,2130.425419
343.356708,1000,2142.258517
341.449894,1000,2156.161207
344.901716,1000,2170.150884
344.695628,1000,2181.751693
344.928255,1000,2200.413091
344.517948,1000,2213.307847
343.538391,1000,2227.024266
343.951738,1000,2238.833351
347.409796,1000,2253.592779
346.899255,1000,2266.514443
346.45081,1000,2280.777019
346.705791,1000,2293.933198
343.814295,1000,2305.991118
343.134466,1000,2319.658391
343.260715,1000,2337.281721
348.440877,1000,2350.758816
350.081918,1000,2363.355331
345.584876,1000,2378.132751
344.406029,1000,2390.088952
346.530107,1000,2403.908882
342.79008,1000,2417.923137
341.58542,1000,2429.620088
346.074893,1000,2443.497368
342.132956,1000,2456.260412
343.82043,1000,2474.91644
342.723562,1000,2486.658126
344.168281,1000,2501.468425
340.940747,1000,2515.104497
345.701331,1000,2527.711781
344.037254,1000,2541.514337
345.354664,1000,2553.821311
347.324129,1000,2567.898268
343.956206,1000,2580.563025
344.465614,1000,2594.053436
347.258723,1000,2611.359713
344.273847,1000,2625.884128
342.391185,1000,2639.47175
344.911224,1000,2652.007585
344.519516,1000,2666.310943
343.031276,1000,2678.545167
343.46316,1000,2692.914911
344.557055,1000,2705.310041
344.314019,1000,2719.461838
345.285026,1000,2731.451182
340.625381,1000,2750.812946
352.124437,1000,2763.120122
345.998077,1000,2777.140614
344.52196,1000,2791.040001
342.890021,1000,2803.369546
347.343722,1000,2817.331381
342.698198,1000,2829.737434
344.460834,1000,2843.661443
345.880626,1000,2856.17187
345.475584,1000,2870.424843
343.519988,1000,2887.750048
342.194543,1000,2902.008922
344.687983,1000,2913.575096
343.123916,1000,2927.810631
346.870948,1000,2942.458785
345.601641,1000,2955.640837
344.577429,1000,2969.592282
344.954044,1000,2982.20862
341.255975,1000,2996.477552
342.89902,1000,3008.473864
344.743826,1000,3028.713564
344.21972,1000,3041.448256
344.492676,1000,3055.946599
344.606681,1000,3068.187156
348.427234,1000,3081.658204
344.75608,1000,3095.422332
348.356668,1000,3107.894347
343.770766,1000,3121.609068
344.084956,1000,3133.877135
347.72895,1000,3148.092126
343.519985,1000,3165.152602
345.340288,1000,3179.635066
346.896131,1000,3192.221075
344.651256,1000,3206.357162
345.658613,1000,3218.916196
350.104317,1000,3232.807497
341.906238,1000,3247.057585
346.438354,1000,3259.578682
346.173352,1000,3272.977459
340.69643,1000,3285.827854
347.490746,1000,3305.931293
346.858091,1000,3317.900133
345.393749,1000,3332.863133
342.452506,1000,3345.294925
347.174309,1000,3358.890263
346.003892,1000,3372.670558
349.14467,1000,3384.502002
345.454859,1000,3398.130344
349.421619,1000,3412.91131
349.341771,1000,3425.252435
346.544538,1000,3444.814959
346.363681,1000,3458.080035
346.802466,1000,3471.761062
348.21827,1000,3484.056076
344.899923,1000,3497.48416
349.662584,1000,3509.516049
346.947603,1000,3523.369526
345.386601,1000,3537.452747
351.255431,1000,3549.111041
344.378561,1000,3563.112877
343.172031,1000,3581.116977
345.019491,1000,3595.379042
348.525823,1000,3608.024518
348.372288,1000,3622.705523
350.807531,1000,3634.736291
341.889782,1000,3648.797641
346.499611,1000,3663.397068
347.007689,1000,3675.442986
343.629987,1000,3689.52434
349.538432,1000,3701.651815
348.954563,1000,3719.979054
345.080847,1000,3731.827476
349.520194,1000,3746.194156
342.351174,1000,3758.490133
346.767331,1000,3773.145926
344.1574,1000,3787.347604
346.786369,1000,3799.779835
345.78397,1000,3814.407301
343.658565,1000,3826.606329
351.809187,1000,3840.861187
350.05678,1000,3857.718253
344.125319,1000,3872.096792
350.59904,1000,3884.846881
343.346365,1000,3899.727293
342.027222,1000,3911.974319
344.410327,1000,3926.168271
